origin_id,origin_zone,dest_id,dest_school,count(*),school_lat,School_long,zone_lat,zone_long
1,Babesa,1,Babesa HSS,249,27.426344,89.657088,27.42918166770,89.64720960230
3,Bjemina,1,Babesa HSS,1,27.426344,89.657088,27.40296800000,89.57070400000
4,Changangkha,1,Babesa HSS,1,27.426344,89.657088,27.47245399040,89.63084646850
5,Changgidaphu,1,Babesa HSS,2,27.426344,89.657088,27.45993538960,89.63337611550
6,Changjalu,1,Babesa HSS,7,27.426344,89.657088,27.44697074620,89.65875248350
7,Changzamtog,1,Babesa HSS,5,27.426344,89.657088,27.46114897030,89.64185371500
8,Chanjiji,1,Babesa HSS,2,27.426344,89.657088,27.45550435780,89.65292201730
9,Core,1,Babesa HSS,1,27.426344,89.657088,27.47331364770,89.63825335810
10,Debsi,1,Babesa HSS,16,27.426344,89.657088,27.43156669690,89.64037529940
11,Dechencholing,1,Babesa HSS,1,27.426344,89.657088,27.53260528070,89.64253837270
13,Gangchey,1,Babesa HSS,15,27.426344,89.657088,27.41778503180,89.64188265870
17,Jungshina,1,Babesa HSS,1,27.426344,89.657088,27.51070916330,89.63412912960
22,Langjophakha,1,Babesa HSS,1,27.426344,89.657088,27.49589747970,89.64132150520
23,Lubding,1,Babesa HSS,1,27.426344,89.657088,27.44974662830,89.66945403330
24,Motithang,1,Babesa HSS,2,27.426344,89.657088,27.47665064250,89.61971670550
25,Namseyling,1,Babesa HSS,2,27.426344,89.657088,27.404257,89.6064
26,Olakha,1,Babesa HSS,15,27.426344,89.657088,27.44697074620,89.65875248350
28,Ramtokto,1,Babesa HSS,8,27.426344,89.657088,27.416321,89.622819
29,RTC,1,Babesa HSS,14,27.426344,89.657088,27.40349847780,89.65665704520
30,Samtenling,1,Babesa HSS,1,27.426344,89.657088,27.50077888000,89.63369325650
31,Serbithang,1,Babesa HSS,33,27.426344,89.657088,27.42029515230,89.65591160680
32,Simtokha,1,Babesa HSS,10,27.426344,89.657088,27.43440839780,89.66787390510
34,Tshalubar,1,Babesa HSS,2,27.426344,89.657088,27.43770376770,89.65558664010
35,Tshalumarphey,1,Babesa HSS,5,27.426344,89.657088,27.43770376770,89.65558664010
1,Babesa,2,Babesa PS,375,27.429027,89.650867,27.42918166770,89.64720960230
3,Bjemina,2,Babesa PS,1,27.429027,89.650867,27.40296800000,89.57070400000
6,Changjalu,2,Babesa PS,4,27.429027,89.650867,27.44697074620,89.65875248350
7,Changzamtog,2,Babesa PS,4,27.429027,89.650867,27.46114897030,89.64185371500
8,Chanjiji,2,Babesa PS,4,27.429027,89.650867,27.45550435780,89.65292201730
9,Core,2,Babesa PS,1,27.429027,89.650867,27.47331364770,89.63825335810
10,Debsi,2,Babesa PS,31,27.429027,89.650867,27.43156669690,89.64037529940
12,Dzong,2,Babesa PS,1,27.429027,89.650867,27.48830025920,89.63554472700
13,Gangchey,2,Babesa PS,23,27.429027,89.650867,27.41778503180,89.64188265870
18,Kabisa,2,Babesa PS,1,27.429027,89.650867,27.54906988110,89.65429961040
20,Khasadrapchu,2,Babesa PS,1,27.429027,89.650867,27.386985,89.584902
22,Langjophakha,2,Babesa PS,1,27.429027,89.650867,27.49589747970,89.64132150520
24,Motithang,2,Babesa PS,1,27.429027,89.650867,27.47665064250,89.61971670550
26,Olakha,2,Babesa PS,16,27.429027,89.650867,27.44697074620,89.65875248350
27,Pamtsho,2,Babesa PS,2,27.429027,89.650867,27.51070916330,89.63412912960
28,Ramtokto,2,Babesa PS,4,27.429027,89.650867,27.416321,89.622819
29,RTC,2,Babesa PS,20,27.429027,89.650867,27.40349847780,89.65665704520
30,Samtenling,2,Babesa PS,1,27.429027,89.650867,27.50077888000,89.63369325650
31,Serbithang,2,Babesa PS,29,27.429027,89.650867,27.42029515230,89.65591160680
32,Simtokha,2,Babesa PS,26,27.429027,89.650867,27.43440839780,89.66787390510
33,Taba,2,Babesa PS,3,27.429027,89.650867,27.51290625190,89.64517770640
34,Tshalubar,2,Babesa PS,2,27.429027,89.650867,27.43770376770,89.65558664010
